file_number,xmin,ymin,xmax,ymax
01,145000.0,230000.0,162000.0,247000.0
02,162000.0,218000.0,194000.0,250000.0
03,194000.0,236000.0,206000.0,248000.0
04,53000.0,212500.0,66000.0,225500.0
05,66000.0,200000.0,98000.0,232000.0
06,98000.0,195000.0,130000.0,227000.0
07,130000.0,206000.0,162000.0,238000.0
08,162000.0,206000.0,194000.0,238000.0
09,194000.0,206000.0,226000.0,238000.0
10,226000.0,215000.0,238000.0,227000.0
11,18500.0,191000.0,34000.0,206500.0
12,34000.0,186000.0,66000.0,218000.0
13,66000.0,186000.0,98000.0,218000.0
14,98000.0,186000.0,130000.0,218000.0
15,130000.0,186000.0,162000.0,218000.0
16,162000.0,186000.0,194000.0,218000.0
17,194000.0,186000.0,226000.0,218000.0
18,226000.0,186000.0,258000.0,218000.0
19,17000.0,181000.0,34000.0,198000.0
20,34000.0,166000.0,66000.0,198000.0
21,66000.0,166000.0,98000.0,198000.0
22,98000.0,166000.0,130000.0,198000.0
23,130000.0,166000.0,162000.0,198000.0
24,162000.0,166000.0,194000.0,198000.0
25,194000.0,166000.0,226000.0,198000.0
26,226000.0,166000.0,258000.0,198000.0
27,20000.0,164000.0,34000.0,178000.0
28,34000.0,146000.0,66000.0,178000.0
29,66000.0,146000.0,98000.0,178000.0
30,98000.0,146000.0,130000.0,178000.0
31,130000.0,146000.0,162000.0,178000.0
32,162000.0,146000.0,194000.0,178000.0
33,194000.0,146000.0,226000.0,178000.0
34,226000.0,146000.0,258000.0,178000.0
35,258000.0,163000.0,264000.0,169000.0
36,34000.0,126000.0,66000.0,158000.0
37,66000.0,126000.0,98000.0,158000.0
38,98000.0,126000.0,130000.0,158000.0
39,130000.0,126000.0,162000.0,158000.0
40,162000.0,126000.0,194000.0,158000.0
41,194000.0,126000.0,226000.0,158000.0
42,226000.0,126000.0,258000.0,158000.0
43,258000.0,152000.0,264000.0,158000.0
